date,product,unit price,units sold,sales price
2017-11-01,Khaki Pants,89.0,1,89.0
2017-11-01,Super Soft Hoodie,75.0,1,75.0
2017-11-01,Button-Down Shirt,65.05,4,260.2
2017-11-01,Vintage Logo Tee,15.95,1,15.95
2017-11-01,Winter Hat,12.95,1,12.95
2017-11-02,Super Soft Hoodie,75.0,1,75.0
2017-11-02,Vintage Logo Tee,15.95,2,31.9
2017-11-02,Winter Hat,12.95,1,12.95
2017-11-02,Sticker Pack,4.5,3,13.5
2017-11-03,Khaki Pants,89.0,2,178.0
2017-11-03,Super Soft Hoodie,75.0,1,75.0
2017-11-03,Button-Down Shirt,65.05,3,195.15
2017-11-03,Sticker Pack,4.5,3,13.5
2017-11-04,Super Soft Hoodie,75.0,2,150.0
2017-11-04,Button-Down Shirt,65.05,6,390.3
2017-11-04,Vintage Logo Tee,15.95,2,31.9
2017-11-04,Winter Hat,12.95,1,12.95
2017-11-04,Sticker Pack,4.5,3,13.5
2017-11-05,Super Soft Sweater,149.99,2,299.98
2017-11-05,Khaki Pants,89.0,1,89.0
2017-11-05,Button-Down Shirt,65.05,2,130.1
2017-11-05,Vintage Logo Tee,15.95,3,47.85
2017-11-05,Winter Hat,12.95,1,12.95
2017-11-05,Sticker Pack,4.5,4,18.0
2017-11-06,Vintage Logo Tee,15.95,2,31.9
2017-11-07,Khaki Pants,89.0,1,89.0
2017-11-07,Vintage Logo Tee,15.95,1,15.95
2017-11-08,Super Soft Sweater,149.99,1,149.99
2017-11-08,Super Soft Hoodie,75.0,1,75.0
2017-11-08,Button-Down Shirt,65.05,3,195.15
2017-11-08,Sticker Pack,4.5,1,4.5
2017-11-09,Super Soft Hoodie,75.0,1,75.0
2017-11-09,Button-Down Shirt,65.05,3,195.15
2017-11-09,Vintage Logo Tee,15.95,1,15.95
2017-11-09,Winter Hat,12.95,1,12.95
2017-11-09,Sticker Pack,4.5,3,13.5
2017-11-10,Super Soft Sweater,149.99,1,149.99
2017-11-10,Khaki Pants,89.0,1,89.0
2017-11-10,Super Soft Hoodie,75.0,2,150.0
2017-11-10,Vintage Logo Tee,15.95,3,47.85
2017-11-11,Super Soft Sweater,149.99,2,299.98
2017-11-11,Khaki Pants,89.0,2,178.0
2017-11-11,Super Soft Hoodie,75.0,3,225.0
2017-11-11,Button-Down Shirt,65.05,8,520.4
2017-11-11,Vintage Logo Tee,15.95,3,47.85
2017-11-11,Winter Hat,12.95,2,25.9
2017-11-11,Sticker Pack,4.5,6,27.0
2017-11-12,Khaki Pants,89.0,1,89.0
2017-11-12,Super Soft Hoodie,75.0,1,75.0
2017-11-12,Button-Down Shirt,65.05,2,130.1
2017-11-12,Vintage Logo Tee,15.95,1,15.95
2017-11-12,Winter Hat,12.95,1,12.95
2017-11-12,Sticker Pack,4.5,1,4.5
2017-11-13,Super Soft Hoodie,75.0,1,75.0
2017-11-13,Button-Down Shirt,65.05,4,260.2
2017-11-13,Vintage Logo Tee,15.95,1,15.95
2017-11-14,Khaki Pants,89.0,1,89.0
2017-11-14,Button-Down Shirt,65.05,4,260.2
2017-11-14,Vintage Logo Tee,15.95,1,15.95
2017-11-15,Khaki Pants,89.0,1,89.0
2017-11-15,Button-Down Shirt,65.05,2,130.1
2017-11-15,Vintage Logo Tee,15.95,2,31.9
2017-11-15,Sticker Pack,4.5,3,13.5
2017-11-16,Khaki Pants,89.0,1,89.0
2017-11-16,Button-Down Shirt,65.05,2,130.1
2017-11-16,Vintage Logo Tee,15.95,1,15.95
2017-11-16,Winter Hat,12.95,1,12.95
2017-11-16,Sticker Pack,4.5,2,9.0
2017-11-17,Khaki Pants,89.0,2,178.0
2017-11-17,Vintage Logo Tee,15.95,2,31.9
2017-11-17,Sticker Pack,4.5,4,18.0
2017-11-18,Khaki Pants,89.0,1,89.0
2017-11-18,Button-Down Shirt,65.05,6,390.3
2017-11-18,Vintage Logo Tee,15.95,2,31.9
2017-11-18,Winter Hat,12.95,1,12.95
2017-11-18,Sticker Pack,4.5,2,9.0
2017-11-19,Brown Boots,125.0,1,125.0
2017-11-19,Super Soft Hoodie,75.0,3,225.0
2017-11-19,Button-Down Shirt,65.05,2,130.1
2017-11-19,Vintage Logo Tee,15.95,2,31.9
2017-11-19,Sticker Pack,4.5,4,18.0
2017-11-20,Super Soft Hoodie,75.0,1,75.0
2017-11-20,Button-Down Shirt,65.05,1,65.05
2017-11-20,Sticker Pack,4.5,1,4.5
2017-11-21,Button-Down Shirt,65.05,3,195.15
2017-11-21,Vintage Logo Tee,15.95,1,15.95
2017-11-21,Winter Hat,12.95,1,12.95
2017-11-21,Sticker Pack,4.5,2,9.0
2017-11-22,Button-Down Shirt,65.05,4,260.2
2017-11-23,Super Soft Hoodie,75.0,1,75.0
2017-11-23,Button-Down Shirt,65.05,1,65.05
2017-11-23,Vintage Logo Tee,15.95,1,15.95
2017-11-23,Sticker Pack,4.5,3,13.5
2017-11-24,Khaki Pants,89.0,1,89.0
2017-11-24,Button-Down Shirt,65.05,5,325.25
2017-11-24,Winter Hat,12.95,1,12.95
2017-11-25,Khaki Pants,89.0,1,89.0
2017-11-25,Super Soft Hoodie,75.0,2,150.0
2017-11-25,Button-Down Shirt,65.05,4,260.2
2017-11-25,Vintage Logo Tee,15.95,4,63.8
2017-11-25,Winter Hat,12.95,2,25.9
2017-11-25,Sticker Pack,4.5,4,18.0
2017-11-26,Super Soft Sweater,149.99,2,299.98
2017-11-26,Brown Boots,125.0,1,125.0
2017-11-26,Khaki Pants,89.0,2,178.0
2017-11-26,Super Soft Hoodie,75.0,3,225.0
2017-11-26,Button-Down Shirt,65.05,5,325.25
2017-11-26,Vintage Logo Tee,15.95,3,47.85
2017-11-26,Sticker Pack,4.5,6,27.0
2017-11-27,Khaki Pants,89.0,1,89.0
2017-11-27,Super Soft Hoodie,75.0,1,75.0
2017-11-27,Button-Down Shirt,65.05,3,195.15
2017-11-28,Khaki Pants,89.0,1,89.0
2017-11-28,Super Soft Hoodie,75.0,1,75.0
2017-11-28,Winter Hat,12.95,1,12.95
2017-11-28,Sticker Pack,4.5,2,9.0
2017-11-29,Super Soft Sweater,149.99,1,149.99
2017-11-29,Button-Down Shirt,65.05,2,130.1
2017-11-29,Vintage Logo Tee,15.95,2,31.9
2017-11-29,Winter Hat,12.95,1,12.95
